order_id,customer_id,order_date,product_id,product_name,product_price,quantity
1031,C028,2023-12-05,P026,Wireless Mouse,45.99,1
1032,C029,2023-12-10,P027,Office Chair,150.00,1
1033,C030,2023-12-15,P028,Desk Organizer,30.99,3
1034,C031,2023-12-20,P029,USB Hub,25.99,2
1035,C032,2023-12-25,P030,External Battery Pack,60.00,1
1036,C033,2024-01-05,P031,Printer Ink Cartridge,35.99,4
1037,C034,2024-01-10,P032,Smartphone Stand,20.99,5
1038,C035,2024-01-15,P033,Camera Lens,250.00,1
1039,C036,2024-01-20,P034,Ergonomic Keyboard,89.99,2
1040,C037,2024-01-25,P035,Mouse Pad,12.99,6
1041,C038,2024-02-01,P036,Headphone Stand,28.99,1
1042,C039,2024-02-10,P037,HDMI Cable,15.99,3
1043,C040,2024-02-15,P038,Desktop Speaker,75.00,1
1044,C041,2024-02-20,P039,Webcam Cover,8.99,10
1045,C042,2024-03-01,P040,Smart Home Hub,120.00,2
1046,C043,2024-03-05,P041,Noise-Canceling Headphones,299.99,1
1047,C044,2024-03-10,P042,Tablet Keyboard,65.00,2
1048,C045,2024-03-15,P043,Smart Light Bulb,22.99,4
1049,C046,2024-03-20,P044,Portable Speaker,55.99,1
1050,C047,2024-03-25,P045,Camera Tripod,80.00,1
1051,C048,2024-04-01,P046,Charging Dock,45.99,2
1052,C049,2024-04-10,P047,Adjustable Monitor Stand,39.99,1
1053,C050,2024-04-15,P048,Home Security Camera,199.99,1
1054,C051,2024-04-20,P049,Ergonomic Chair Mat,70.99,1
1055,C052,2024-05-01,P050,Portable SSD,250.00,1
1056,C053,2024-05-10,P051,Mechanical Keyboard,120.00,2
1057,C054,2024-05-15,P052,Smart Thermostat,180.00,1
1058,C055,2024-05-20,P053,LED Desk Lamp,40.00,2
1059,C056,2024-05-25,P054,Wireless Earbuds,90.00,1
1060,C057,2024-06-01,P055,Graphic Tablet,300.00,1
1061,C058,2024-06-10,P056,Game Controller,65.00,1
1062,C059,2024-06-15,P057,Smart Plug,19.99,3
1063,C060,2024-06-20,P058,Fitness Tracker,89.99,1
1064,C061,2024-07-01,P059,Office Desk,350.00,1
1065,C062,2024-07-10,P060,Wireless Headphones,130.00,2
1066,C063,2024-07-15,P061,USB-C Hub,40.00,1
1067,C064,2024-07-20,P062,Smart Doorbell,120.00,1
1068,C065,2024-07-25,P063,Portable Projector,200.00,1
1069,C066,2024-08-01,P064,Electric Kettle,45.00,1
1070,C067,2024-08-10,P065,Digital Photo Frame,75.00,1
1071,C068,2024-08-15,P066,Air Purifier,150.00,1
1072,C069,2024-08-20,P067,Wireless Charger Pad,29.99,2
1073,C070,2024-08-25,P068,Smart Mirror,250.00,1
1074,C071,2024-09-01,P069,Mechanical Pencil Set,15.99,1
1075,C072,2024-09-10,P070,Digital Thermometer,12.99,3
1076,C073,2024-09-15,P071,Portable Blender,55.00,1
1077,C074,2024-09-20,P072,Video Doorbell,120.00,1
1078,C075,2024-09-25,P073,Smartwatch Charger,20.00,2
1079,C076,2024-10-01,P074,Wireless Earbuds Charger,25.00,1
1080,C077,2024-10-10,P075,Electric Toothbrush,60.00,1
1081,C078,2024-10-15,P076,Smart Light Strip,45.00,1
1082,C079,2024-10-20,P077,Compact Vacuum Cleaner,80.00,1
1083,C080,2024-10-25,P078,LED TV,450.00,1
1084,C081,2024-11-01,P079,Bluetooth Speaker,70.00,2
1085,C082,2024-11-10,P080,Smart Plug Kit,35.99,1
1086,C083,2024-11-15,P081,Electric Blanket,90.00,1
1087,C084,2024-11-20,P082,Smart Home Security Kit,250.00,1
1088,C085,2024-11-25,P083,Wireless Headset,100.00,1
1089,C086,2024-12-01,P084,Smart Garden Kit,150.00,1
1090,C087,2024-12-10,P085,Digital Scale,25.99,2
1091,C088,2024-12-15,P086,Smart Fitness Band,70.00,1
1092,C089,2024-12-20,P087,Electric Shaver,60.00,1
1093,C090,2024-12-25,P088,Portable Air Conditioner,300.00,1
